location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,overall_eligibility,location_abbreviation,location_name
18,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,IN,Indiana
18,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,IN,Indiana
18,UCLA-SuEIR,eligible,eligible,eligible,eligible,IN,Indiana
18,UMass-MechBayes,eligible,eligible,eligible,eligible,IN,Indiana
18,UT-Mobility,eligible,eligible,eligible,eligible,IN,Indiana
18,YYG-ParamSearch,eligible,eligible,eligible,eligible,IN,Indiana
19,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,IA,Iowa
19,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,IA,Iowa
19,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,IA,Iowa
19,CU-select,eligible,eligible,eligible,eligible,IA,Iowa
19,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,IA,Iowa
19,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,IA,Iowa
19,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,IA,Iowa
19,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,IA,Iowa
19,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,IA,Iowa
19,LANL-GrowthRate,eligible,eligible,eligible,eligible,IA,Iowa
19,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,IA,Iowa
19,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,IA,Iowa
19,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,IA,Iowa
19,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,IA,Iowa
19,UCLA-SuEIR,eligible,eligible,eligible,eligible,IA,Iowa
19,UMass-MechBayes,eligible,eligible,eligible,eligible,IA,Iowa
19,UT-Mobility,eligible,eligible,eligible,eligible,IA,Iowa
19,YYG-ParamSearch,eligible,eligible,eligible,eligible,IA,Iowa
20,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,KS,Kansas
20,CAN-SEIR_CAN,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,KS,Kansas
20,CovidAnalytics-DELPHI,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,KS,Kansas
20,CU-select,eligible,eligible,eligible,eligible,KS,Kansas
20,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,KS,Kansas
20,GT-DeepCOVID,eligible,eligible,decreasing quantiles over time,Visual misalignment of predictive quantiles with JHU reference data.,KS,Kansas
20,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,KS,Kansas
20,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,KS,Kansas
20,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,KS,Kansas
20,LANL-GrowthRate,eligible,eligible,eligible,eligible,KS,Kansas
20,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,KS,Kansas
20,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,KS,Kansas
20,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,KS,Kansas
20,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,KS,Kansas
20,UCLA-SuEIR,eligible,eligible,eligible,eligible,KS,Kansas
20,UMass-MechBayes,eligible,eligible,eligible,eligible,KS,Kansas
20,UT-Mobility,eligible,eligible,eligible,eligible,KS,Kansas
20,YYG-ParamSearch,eligible,eligible,eligible,eligible,KS,Kansas
21,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,KY,Kentucky
21,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,KY,Kentucky
21,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,KY,Kentucky
21,CU-select,eligible,eligible,eligible,eligible,KY,Kentucky
21,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,KY,Kentucky
21,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,Visual misalignment of predictive quantiles with JHU reference data.,KY,Kentucky
21,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,KY,Kentucky
21,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,KY,Kentucky
21,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,KY,Kentucky
21,LANL-GrowthRate,eligible,eligible,eligible,eligible,KY,Kentucky
21,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,KY,Kentucky
21,NotreDame-FRED,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,KY,Kentucky
21,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,KY,Kentucky
21,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,KY,Kentucky
21,UCLA-SuEIR,eligible,eligible,eligible,eligible,KY,Kentucky
21,UMass-MechBayes,eligible,eligible,eligible,eligible,KY,Kentucky
21,UT-Mobility,eligible,eligible,eligible,eligible,KY,Kentucky
21,YYG-ParamSearch,eligible,eligible,eligible,eligible,KY,Kentucky
22,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,LA,Louisiana
22,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,LA,Louisiana
22,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,LA,Louisiana
22,CU-select,eligible,eligible,eligible,eligible,LA,Louisiana
22,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,LA,Louisiana
22,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,LA,Louisiana
22,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,LA,Louisiana
22,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,LA,Louisiana
22,JHU_IDD-CovidSP,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,LA,Louisiana
22,LANL-GrowthRate,eligible,eligible,eligible,eligible,LA,Louisiana
22,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,LA,Louisiana
22,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,LA,Louisiana
22,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,LA,Louisiana
22,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,LA,Louisiana
22,UCLA-SuEIR,eligible,eligible,eligible,eligible,LA,Louisiana
22,UMass-MechBayes,eligible,eligible,eligible,eligible,LA,Louisiana
22,UT-Mobility,eligible,eligible,eligible,eligible,LA,Louisiana
22,YYG-ParamSearch,eligible,eligible,eligible,eligible,LA,Louisiana
23,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,ME,Maine
23,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,ME,Maine
23,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,ME,Maine
23,CU-select,eligible,eligible,eligible,eligible,ME,Maine
23,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,ME,Maine
23,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,ME,Maine
23,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,ME,Maine
23,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,ME,Maine
23,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,ME,Maine
23,LANL-GrowthRate,eligible,eligible,eligible,eligible,ME,Maine
23,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,ME,Maine
23,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,ME,Maine
23,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,ME,Maine
23,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,ME,Maine
23,UCLA-SuEIR,eligible,eligible,eligible,eligible,ME,Maine
23,UMass-MechBayes,eligible,eligible,eligible,eligible,ME,Maine
23,UT-Mobility,eligible,eligible,eligible,eligible,ME,Maine
23,YYG-ParamSearch,eligible,eligible,eligible,eligible,ME,Maine
24,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MD,Maryland
24,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,MD,Maryland
24,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,MD,Maryland
24,CU-select,eligible,eligible,eligible,eligible,MD,Maryland
24,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MD,Maryland
24,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,Visual misalignment of predictive quantiles with JHU reference data.,MD,Maryland
24,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MD,Maryland
24,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MD,Maryland
24,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,MD,Maryland
24,LANL-GrowthRate,eligible,eligible,eligible,eligible,MD,Maryland
24,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,MD,Maryland
24,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MD,Maryland
24,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,MD,Maryland
24,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MD,Maryland
24,UCLA-SuEIR,eligible,eligible,eligible,eligible,MD,Maryland
24,UMass-MechBayes,eligible,eligible,eligible,eligible,MD,Maryland
24,UT-Mobility,eligible,eligible,eligible,eligible,MD,Maryland
24,YYG-ParamSearch,eligible,eligible,eligible,eligible,MD,Maryland
25,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MA,Massachusetts
25,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,MA,Massachusetts
25,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,MA,Massachusetts
25,CU-select,eligible,eligible,eligible,eligible,MA,Massachusetts
25,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MA,Massachusetts
25,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,Visual misalignment of predictive quantiles with JHU reference data.,MA,Massachusetts
25,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MA,Massachusetts
25,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MA,Massachusetts
25,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,MA,Massachusetts
25,LANL-GrowthRate,eligible,eligible,eligible,eligible,MA,Massachusetts
25,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,MA,Massachusetts
25,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MA,Massachusetts
25,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,MA,Massachusetts
25,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MA,Massachusetts
25,UCLA-SuEIR,eligible,eligible,eligible,eligible,MA,Massachusetts
25,UMass-MechBayes,eligible,eligible,eligible,eligible,MA,Massachusetts
25,UT-Mobility,eligible,eligible,eligible,eligible,MA,Massachusetts
25,YYG-ParamSearch,eligible,eligible,eligible,eligible,MA,Massachusetts
26,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MI,Michigan
26,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,MI,Michigan
26,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,MI,Michigan
26,CU-select,eligible,eligible,eligible,eligible,MI,Michigan
26,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MI,Michigan
26,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MI,Michigan
26,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MI,Michigan
26,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MI,Michigan
26,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,MI,Michigan
26,LANL-GrowthRate,eligible,eligible,eligible,eligible,MI,Michigan
26,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,MI,Michigan
26,NotreDame-FRED,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,MI,Michigan
26,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,MI,Michigan
26,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MI,Michigan
26,UCLA-SuEIR,eligible,eligible,eligible,eligible,MI,Michigan
26,UMass-MechBayes,eligible,eligible,eligible,eligible,MI,Michigan
26,UT-Mobility,eligible,eligible,eligible,eligible,MI,Michigan
26,YYG-ParamSearch,eligible,eligible,eligible,eligible,MI,Michigan
27,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MN,Minnesota
27,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,MN,Minnesota
27,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,MN,Minnesota
27,CU-select,eligible,eligible,eligible,eligible,MN,Minnesota
27,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MN,Minnesota
27,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MN,Minnesota
27,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MN,Minnesota
27,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MN,Minnesota
27,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,MN,Minnesota
27,LANL-GrowthRate,eligible,eligible,eligible,eligible,MN,Minnesota
27,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,MN,Minnesota
27,NotreDame-FRED,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,MN,Minnesota
27,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,MN,Minnesota
27,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MN,Minnesota
27,UCLA-SuEIR,eligible,eligible,eligible,eligible,MN,Minnesota
27,UMass-MechBayes,eligible,eligible,eligible,eligible,MN,Minnesota
27,UT-Mobility,eligible,eligible,eligible,eligible,MN,Minnesota
27,YYG-ParamSearch,eligible,eligible,eligible,eligible,MN,Minnesota
28,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MS,Mississippi
28,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,MS,Mississippi
28,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,MS,Mississippi
28,CU-select,eligible,eligible,eligible,eligible,MS,Mississippi
28,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MS,Mississippi
28,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MS,Mississippi
28,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MS,Mississippi
28,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MS,Mississippi
28,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,MS,Mississippi
28,LANL-GrowthRate,eligible,eligible,eligible,eligible,MS,Mississippi
28,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,MS,Mississippi
28,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MS,Mississippi
28,PSI-DRAFT,eligible,eligible,eligible,eligible,MS,Mississippi
28,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MS,Mississippi
28,UCLA-SuEIR,eligible,eligible,eligible,eligible,MS,Mississippi
28,UMass-MechBayes,eligible,eligible,eligible,eligible,MS,Mississippi
28,UT-Mobility,eligible,eligible,eligible,eligible,MS,Mississippi
28,YYG-ParamSearch,eligible,eligible,eligible,eligible,MS,Mississippi
29,Auquan-SEIR,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MO,Missouri
29,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,MO,Missouri
29,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,MO,Missouri
29,CU-select,eligible,eligible,eligible,eligible,MO,Missouri
29,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MO,Missouri
29,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MO,Missouri
29,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MO,Missouri
29,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MO,Missouri
29,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,MO,Missouri
29,LANL-GrowthRate,eligible,eligible,eligible,eligible,MO,Missouri
29,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,MO,Missouri
29,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MO,Missouri
29,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,MO,Missouri
29,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MO,Missouri
29,UCLA-SuEIR,eligible,eligible,eligible,eligible,MO,Missouri
29,UMass-MechBayes,eligible,eligible,eligible,eligible,MO,Missouri
29,UT-Mobility,eligible,eligible,eligible,eligible,MO,Missouri
29,YYG-ParamSearch,eligible,eligible,eligible,eligible,MO,Missouri
30,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MT,Montana
30,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,MT,Montana
30,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,MT,Montana
30,CU-select,eligible,eligible,eligible,eligible,MT,Montana
30,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MT,Montana
30,GT-DeepCOVID,eligible,eligible,decreasing quantiles over time,Visual misalignment of predictive quantiles with JHU reference data.,MT,Montana
30,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MT,Montana
30,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MT,Montana
30,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,MT,Montana
30,LANL-GrowthRate,eligible,eligible,eligible,eligible,MT,Montana
30,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,MT,Montana
30,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,MT,Montana
30,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,MT,Montana
30,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,MT,Montana
30,UCLA-SuEIR,eligible,eligible,eligible,eligible,MT,Montana
30,UMass-MechBayes,eligible,eligible,eligible,eligible,MT,Montana
30,UT-Mobility,eligible,eligible,eligible,eligible,MT,Montana
30,YYG-ParamSearch,eligible,eligible,eligible,eligible,MT,Montana
31,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,NE,Nebraska
31,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,NE,Nebraska
31,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,NE,Nebraska
31,CU-select,eligible,eligible,eligible,eligible,NE,Nebraska
31,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,NE,Nebraska
31,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,NE,Nebraska
31,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,NE,Nebraska
31,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,NE,Nebraska
31,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,NE,Nebraska
31,LANL-GrowthRate,eligible,eligible,eligible,eligible,NE,Nebraska
31,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,NE,Nebraska
31,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,NE,Nebraska
31,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,NE,Nebraska
31,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,NE,Nebraska
31,UCLA-SuEIR,eligible,eligible,eligible,eligible,NE,Nebraska
31,UMass-MechBayes,eligible,eligible,eligible,eligible,NE,Nebraska
31,UT-Mobility,eligible,eligible,eligible,eligible,NE,Nebraska
31,YYG-ParamSearch,eligible,eligible,eligible,eligible,NE,Nebraska
32,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,NV,Nevada
32,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,NV,Nevada
32,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,NV,Nevada
32,CU-select,eligible,eligible,eligible,eligible,NV,Nevada
32,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,NV,Nevada
32,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,Visual misalignment of predictive quantiles with JHU reference data.,NV,Nevada
32,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,NV,Nevada
32,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,NV,Nevada
32,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,NV,Nevada
32,LANL-GrowthRate,eligible,eligible,eligible,eligible,NV,Nevada
32,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,NV,Nevada
32,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,NV,Nevada
32,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,NV,Nevada
32,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,NV,Nevada
32,UCLA-SuEIR,eligible,eligible,eligible,eligible,NV,Nevada
32,UMass-MechBayes,eligible,eligible,eligible,eligible,NV,Nevada
32,UT-Mobility,eligible,eligible,eligible,eligible,NV,Nevada
32,YYG-ParamSearch,eligible,eligible,eligible,eligible,NV,Nevada
33,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,NH,New Hampshire
33,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,NH,New Hampshire
33,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,NH,New Hampshire
33,CU-select,eligible,eligible,eligible,eligible,NH,New Hampshire
33,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,NH,New Hampshire
33,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,NH,New Hampshire
33,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,NH,New Hampshire
33,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,NH,New Hampshire
33,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,NH,New Hampshire
33,LANL-GrowthRate,eligible,eligible,eligible,eligible,NH,New Hampshire
33,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,NH,New Hampshire
