model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Utah,83,28,243
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Vermont,90,20,218
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Virginia,213,63,772
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Washington,818,422,1948
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,West Virginia,0,0,75
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Wisconsin,271,101,632
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Wyoming,1,0,82
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,US,38898,25988,59630
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Kansas,60,14,464
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Kentucky,161,25,868
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Louisiana,704,312,1797
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Maine,67,9,439
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Maryland,317,108,845
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Massachusetts,1667,1126,3225
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Michigan,2900,1509,6546
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Minnesota,172,37,1808
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Mississippi,82,4,417
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Missouri,354,175,818
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Montana,83,10,359
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Nebraska,37,1,267
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Nevada,91,31,558
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,New Hampshire,140,30,936
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Alabama,144,46,464
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Alaska,29,0,180
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Arizona,572,170,1537
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Arkansas,30,1,184
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,California,2244,1040,5937
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Colorado,659,313,1573
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Connecticut,938,426,2003
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Delaware,47,6,190
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Florida,1844,830,4395
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Georgia,575,195,1755
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Hawaii,23,4,148
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Idaho,0,0,24
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Illinois,1755,707,5278
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Indiana,338,120,873
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Iowa,119,18,818
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Oregon,244,64,1097
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Pennsylvania,1265,576,2639
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Rhode Island,68,29,173
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,South Carolina,195,59,656
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,South Dakota,92,0,1028
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Tennessee,414,149,951
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Texas,743,333,2108
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Utah,103,36,310
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Vermont,149,27,448
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Virginia,403,94,1729
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Washington,1055,517,2711
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,West Virginia,5,0,191
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Wisconsin,384,117,1069
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Wyoming,3,0,208
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,US,46979,29684,82323
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,New Jersey,3817,2372,6683
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,New Mexico,60,10,312
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,New York,19375,12579,29340
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,North Carolina,443,177,1205
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Ohio,250,79,712
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,North Dakota,0,0,144
CU 40% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Oklahoma,104,19,370
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Kansas,76,21,788
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Louisiana,759,318,1959
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Kentucky,293,30,1644
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Maine,96,16,837
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Maryland,344,109,954
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Massachusetts,1788,1193,3545
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Michigan,3300,1649,8050
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Alabama,257,50,807
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Alaska,39,0,403
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Arizona,801,209,2418
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Arkansas,43,1,388
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,California,2542,1121,7161
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Colorado,779,320,2194
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Connecticut,1032,441,2259
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Delaware,49,6,215
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Florida,2074,895,5463
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Georgia,751,211,2436
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Hawaii,26,4,157
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Idaho,0,0,71
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Illinois,1894,789,6253
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Indiana,454,135,1356
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Iowa,240,32,1717
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Oregon,360,69,1694
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Pennsylvania,1444,607,2837
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Rhode Island,73,30,189
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,South Carolina,240,66,974
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,South Dakota,167,1,1829
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Tennessee,572,176,1572
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Texas,974,349,3681
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Utah,111,36,381
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Vermont,225,33,939
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Virginia,696,122,2858
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Washington,1532,629,3709
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,West Virginia,10,0,330
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Wisconsin,558,136,1890
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Wyoming,7,0,367
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,US,53966,31738,105366
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Minnesota,333,55,3241
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Mississippi,129,6,718
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Missouri,451,185,1146
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Montana,163,16,697
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Nebraska,62,1,444
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Nevada,115,31,985
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,New Hampshire,250,41,1481
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,New Jersey,4103,2505,7137
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,New Mexico,104,11,559
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,New York,20468,13145,31109
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,North Carolina,665,230,2114
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,North Dakota,0,0,268
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Ohio,317,106,1145
CU 40% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Oklahoma,169,24,767
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Alabama,65,29,153
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Alaska,16,0,47
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Arizona,277,116,487
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Arkansas,16,0,57
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,California,1556,785,3318
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Colorado,416,243,807
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Connecticut,602,314,1139
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Delaware,31,7,109
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Florida,1173,586,2387
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Georgia,327,162,773
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Hawaii,18,4,81
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Idaho,0,0,12
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Illinois,1155,554,2841
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Indiana,175,84,376
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Iowa,29,3,126
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Kansas,31,8,99
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Kentucky,45,11,159
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Louisiana,497,277,1205
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Maine,31,8,76
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Maryland,209,92,531
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Massachusetts,1128,846,2051
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Michigan,1788,1077,3586
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Minnesota,56,21,271
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Mississippi,16,2,73
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Missouri,195,108,365
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Montana,27,3,68
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Nebraska,9,1,62
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Nevada,57,26,170
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New Hampshire,49,19,216
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New Jersey,2586,1729,4480
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New Mexico,24,4,121
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New York,14055,9964,20892
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,North Carolina,190,96,405
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,North Dakota,0,0,20
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Ohio,151,60,401
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Oklahoma,52,14,107
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Oregon,111,40,267
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Pennsylvania,820,422,1694
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Rhode Island,44,21,110
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,South Carolina,96,37,261
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,South Dakota,15,0,188
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Tennessee,218,102,455
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Texas,407,234,736
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Utah,66,27,194
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Vermont,54,17,110
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Virginia,117,39,339
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Washington,665,357,1425
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,West Virginia,0,0,23
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Wisconsin,188,81,411
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Wyoming,1,0,38
CU 30% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,US,30768,22813,46519
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Alabama,133,49,397
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Alaska,29,0,98
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Arizona,541,172,1098
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Montana,58,13,195
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Nebraska,17,1,145
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Nevada,91,31,352
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New Hampshire,101,30,513
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New Jersey,4301,2542,8015
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New Mexico,45,7,272
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New York,21501,13514,33612
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Kansas,60,20,272
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Kentucky,94,20,420
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Louisiana,754,365,2060
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Arkansas,30,1,131
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,California,2359,1115,6604
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Colorado,719,350,1642
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Connecticut,1066,484,2205
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Delaware,53,10,216
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Maine,62,13,222
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Maryland,356,121,976
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Massachusetts,1841,1213,3641
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Michigan,3285,1685,7668
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Minnesota,119,40,797
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Mississippi,47,7,221
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Missouri,373,181,810
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,North Carolina,395,163,997
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,North Dakota,0,0,70
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Ohio,240,96,726
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Oklahoma,96,22,282
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Florida,2055,879,4882
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Georgia,575,236,1684
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Hawaii,25,4,168
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Idaho,0,0,25
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Illinois,1928,792,6257
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Indiana,303,116,807
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Iowa,72,9,312
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Oregon,202,59,598
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Pennsylvania,1417,634,3264
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Rhode Island,83,33,195
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,South Carolina,174,73,592
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,South Dakota,38,0,479
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Tennessee,387,147,908
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Texas,757,372,1669
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Utah,118,41,376
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Vermont,118,29,297
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Virginia,262,77,919
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Washington,923,485,2465
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,West Virginia,1,0,75
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Wisconsin,365,129,842
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Wyoming,4,0,82
CU 30% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,US,50924,32247,84538
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Kansas,99,25,585
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Kentucky,194,29,1025
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Louisiana,1005,420,2746
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Maine,101,17,504
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Maryland,474,150,1392
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Massachusetts,2501,1612,5340
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Michigan,4621,1907,11419
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Minnesota,243,78,2031
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Mississippi,103,19,524
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Missouri,555,236,1277
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Montana,109,13,457
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Nebraska,34,1,337
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Nevada,117,37,644
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,New Hampshire,197,44,1065
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Alabama,228,70,812
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Alaska,45,0,203
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Arizona,865,253,2268
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Arkansas,50,1,243
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,California,3253,1361,10487
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Colorado,1010,445,2801
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Connecticut,1476,615,3329
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Delaware,73,12,364
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Florida,2963,1137,8130
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Georgia,855,313,2744
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Hawaii,31,4,255
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Idaho,0,0,52
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Illinois,2617,988,10034
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Indiana,493,167,1337
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Iowa,161,22,832
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Oregon,358,83,1263
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Pennsylvania,1925,800,4623
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Rhode Island,116,41,269
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,South Carolina,285,101,1010
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,South Dakota,109,0,1051
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Tennessee,625,194,1461
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Texas,1160,491,3222
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Utah,165,44,579
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Vermont,218,42,674
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Virginia,533,138,2058
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Washington,1302,561,3799
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,West Virginia,8,0,252
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Wisconsin,595,157,1505
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Wyoming,8,0,229
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,US,68317,40265,130309
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,New Jersey,5779,3165,10659
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,New Mexico,85,11,452
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,New York,26557,16338,41581
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,North Carolina,652,258,1902
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Ohio,363,114,1189
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,North Dakota,0,0,169
CU 30% contact reduction,2020-04-13,3 wk ahead cum death,2020-05-02,Oklahoma,154,29,507
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Kansas,139,25,984
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Louisiana,1135,437,3308
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Kentucky,360,36,1985
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Maine,144,21,1039
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Maryland,587,160,1724
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Massachusetts,2952,1772,6521
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Michigan,5726,2323,14233
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Alabama,391,89,1326
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Alaska,64,0,424
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Arizona,1267,297,3850
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Arkansas,69,1,474
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,California,4096,1549,13798
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Colorado,1277,521,3925
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Connecticut,1793,689,4109
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Delaware,81,12,446
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Florida,3645,1289,11236
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Georgia,1195,365,3811
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Hawaii,40,4,323
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Idaho,2,0,81
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Illinois,3077,1114,13467
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Indiana,702,187,2005
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Iowa,284,43,1768
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Oregon,582,108,1998
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Pennsylvania,2343,899,5709
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,Rhode Island,135,43,326
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,South Carolina,397,118,1537
CU 30% contact reduction,2020-04-13,4 wk ahead cum death,2020-05-09,South Dakota,196,0,1712
